Protocol,Benchmark,Algorithm,Instance,Seed,Iteration_Limit,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Feasible,Batch_Workers,Source_Record
Fixed iteration,Chao,Ejection OFF,p4.2.h,0,2500,2500,795.0,835.0,4.790419161676646,119.67986318548962,,6.954250800000409,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.h,1,2500,2500,803.0,835.0,3.8323353293413174,119.93217552104798,,6.763176299999941,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.h,2,2500,2500,807.0,835.0,3.3532934131736525,119.9561609072116,,6.83024850000038,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.h,3,2500,2500,807.0,835.0,3.3532934131736525,119.9561609072116,,6.462433699999565,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.i,0,2500,2500,828.0,918.0,9.803921568627452,129.69161172558844,,7.101411200000257,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.i,1,2500,2500,892.0,918.0,2.832244008714597,129.07417963233905,,6.659735100000034,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.i,2,2500,2500,850.0,918.0,7.407407407407407,129.63917429353083,,7.192556199999672,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.i,3,2500,2500,845.0,918.0,7.952069716775599,129.54745001409043,,6.482672099999945,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.j,0,2500,2500,915.0,965.0,5.181347150259067,139.1423648672985,,8.439665999999306,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.j,1,2500,2500,915.0,965.0,5.181347150259067,139.30026690300903,,6.183591999999408,True,2,02_fixed_2500_ejection_on_off/runs.csv
