Benchmark,Instance,Budget_Seconds
Dang,bier127_gen3_m4,18.83668509999916
Dang,cmt101c_m3,9.301131875000465
Dang,cmt151b_m3,15.708839575000638
Dang,cmt151c_m2,23.293010200000023
Dang,cmt151c_m3,19.459460425000543
Dang,cmt151c_m4,16.683133199999247
Dang,cmt200b_m2,39.156233175000125
Dang,cmt200b_m3,27.987053099999684
Dang,cmt200b_m4,22.954132700000628
Dang,cmt200c_m2,47.57637597499979
Dang,cmt200c_m3,36.215110574999926
Dang,cmt200c_m4,32.4448559500006
Dang,eil101b_m3,7.349109925000448
Dang,eil101c_m2,11.105511849999855
Dang,eil101c_m3,9.564464200000655
Dang,gil262_gen1_m3,24.997255774998848
Dang,gil262_gen1_m4,17.904335599999285
Dang,gil262_gen2_m2,59.76122350000151
Dang,gil262_gen2_m3,28.07349539999996
Dang,gil262_gen3_m2,56.32583732499916
Dang,gil262_gen3_m4,21.28265452499909
Dang,gil262a_m2,22.421170749999877
Dang,gil262a_m4,12.685807675001342
Dang,gil262b_m2,54.28280810000069
Dang,gil262b_m3,39.742718599999534
Dang,gil262b_m4,31.320743649999716
Dang,gil262c_m2,71.7763644000006
Dang,gil262c_m3,54.2995010249997
Dang,gil262c_m4,46.53385975000037
Dang,gr229_gen1_m4,33.247639100001834
Dang,gr229_gen2_m3,27.48922107499948
Dang,gr229_gen2_m4,43.4268879250003
Dang,gr229_gen3_m3,26.590247125000133
Dang,gr229_gen3_m4,54.309092349999446
Dang,kroA150_gen2_m2,23.57265989999996
Dang,kroA150_gen3_m3,15.560033299999304
Dang,kroA200_gen1_m4,14.933187174999148
Dang,kroB200_gen1_m2,25.80506442500064
Dang,kroB200_gen2_m2,39.10328715000014
Dang,kroB200_gen2_m4,20.763080400000035
Dang,kroB200_gen3_m2,24.35206290000133
Dang,kroB200_gen3_m3,26.19213524999941
Dang,lin318_gen1_m2,60.37813310000092
Dang,lin318_gen1_m3,43.1556224499991
Dang,lin318_gen2_m2,100.76384979999966
Dang,lin318_gen2_m3,53.27196387499953
Dang,lin318_gen3_m2,89.66302797499975
Dang,lin318_gen3_m4,38.06572147499992
Dang,pr136_gen1_m2,10.491221124999356
Dang,pr136_gen2_m2,13.121088375
Dang,pr264_gen1_m4,26.488940699999148
Dang,pr264_gen2_m2,65.81034304999957
Dang,pr264_gen2_m3,37.96189437499925
Dang,pr264_gen2_m4,37.45364742499987
Dang,pr264_gen3_m3,42.07617170000049
Dang,pr299_gen1_m2,44.85839287500221
Dang,pr299_gen1_m3,29.867939674999437
Dang,pr299_gen1_m4,20.673090799999045
Dang,pr299_gen2_m3,36.89149082499989
Dang,pr299_gen2_m4,22.703178775001103
Dang,pr299_gen3_m2,81.9937711249986
Dang,pr299_gen3_m3,42.186979050000446
Dang,pr299_gen3_m4,24.62048084999969
Dang,rat195_gen2_m2,25.94742977500209
Dang,rat195_gen3_m3,22.23391784999967
Dang,rd400_gen1_m2,134.15906689999974
Dang,rd400_gen1_m3,114.18073417499907
Dang,rd400_gen1_m4,94.98835320000036
Dang,rd400_gen2_m2,161.45456469999954
Dang,rd400_gen2_m3,130.0322764499997
Dang,rd400_gen2_m4,94.23947462500018
Dang,rd400_gen3_m2,158.46097782500055
Dang,rd400_gen3_m3,121.5379268250008
Dang,rd400_gen3_m4,97.38319002499976
Dang,ts225_gen2_m2,37.26226475000021
