Protocol,Benchmark,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Batch_Workers,Source_Record
Symmetric wall clock,Chao,Ejection OFF,p4.2.e,3,2500,7.438603824999973,7.438603824999973,4119,600.0,618.0,2.912621359223301,89.6790777787939,38,7.0724888000004285,0.3661150249995444,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.f,0,2500,8.789560700000038,8.789560700000038,4962,678.0,687.0,1.310043668122271,99.25817399176636,43,8.514608600000429,0.2749520999996093,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.f,1,2500,8.789560700000038,8.789560700000038,3983,684.0,687.0,0.4366812227074236,99.50083808334618,46,8.43237709999994,0.3571836000000985,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.f,2,2500,8.789560700000038,8.789560700000038,4333,675.0,687.0,1.7467248908296944,99.85641658312264,43,8.337536500001079,0.4520241999989594,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.f,3,2500,8.789560700000038,8.789560700000038,4899,678.0,687.0,1.310043668122271,99.25817399176636,43,8.429325600000084,0.3602350999999544,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.g,0,2500,10.080847449999965,10.080847449999965,3426,737.0,757.0,2.642007926023778,109.5092892085903,53,9.777612100000624,0.3032353499993405,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.g,1,2500,10.080847449999965,10.080847449999965,4124,736.0,757.0,2.774108322324967,108.89650221309483,48,9.811697400000412,0.2691500499995527,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.g,2,2500,10.080847449999965,10.080847449999965,4683,745.0,757.0,1.5852047556142668,109.1333500834546,48,9.76164609999978,0.3192013500001849,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.g,3,2500,10.080847449999965,10.080847449999965,5155,749.0,757.0,1.056803170409511,109.94107260212844,46,9.720707000000402,0.3601404499995624,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.h,0,2500,12.11024479999992,12.11024479999992,5010,803.0,835.0,3.832335329341317,119.82541313861076,53,11.656084000000192,0.4541607999997268,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.h,1,2500,12.11024479999992,12.11024479999992,4846,812.0,835.0,2.754491017964072,119.61047529197124,53,11.86104669999986,0.2491981000000578,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.h,2,2500,12.11024479999992,12.11024479999992,4697,811.0,835.0,2.874251497005988,119.574256861794,54,11.843484199998784,0.2667606000011346,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.h,3,2500,12.11024479999992,12.11024479999992,4184,807.0,835.0,3.3532934131736525,119.9561609072116,57,11.580514699999185,0.5297301000007337,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.i,0,2500,12.539814824999894,12.539814824999894,4635,872.0,918.0,5.010893246187364,129.74250797322105,56,11.880295299999489,0.6595195250004053,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.i,1,2500,12.539814824999894,12.539814824999894,3298,850.0,918.0,7.407407407407407,128.85527947542658,59,11.790059499999188,0.7497553250007059,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.i,2,2500,12.539814824999894,12.539814824999894,3875,843.0,918.0,8.169934640522875,129.4205859280392,55,12.18126409999968,0.3585507250002138,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.i,3,2500,12.539814824999894,12.539814824999894,5088,853.0,918.0,7.080610021786493,129.5865022155528,54,12.179827899999507,0.3599869250003848,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.j,0,2500,11.574825825000062,11.574825825000062,4836,962.0,965.0,0.310880829015544,138.71856572593043,65,11.327776500000256,0.2470493249998071,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.j,1,2500,11.574825825000062,11.574825825000062,4281,925.0,965.0,4.1450777202072535,139.54506366062418,58,11.169732700000168,0.4050931249998939,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.j,2,2500,11.574825825000062,11.574825825000062,2612,899.0,965.0,6.839378238341969,139.8525480556049,59,10.74023060000036,0.8345952249997026,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.j,3,2500,11.574825825000062,11.574825825000062,4312,914.0,965.0,5.284974093264249,139.57031589222046,56,10.622180300000764,0.9526455249992978,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.k,0,2500,12.205864174999988,12.205864174999988,3586,963.0,1022.0,5.772994129158513,149.23198609358985,64,11.537231999998768,0.6686321750012212,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.k,1,2500,12.205864174999988,12.205864174999988,4097,980.0,1022.0,4.109589041095891,149.5360219618104,64,11.946453500000644,0.2594106749993443,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.k,2,2500,12.205864174999988,12.205864174999988,4159,972.0,1022.0,4.892367906066537,149.43650717293957,64,11.956140199999936,0.2497239750000517,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.k,3,2500,12.205864174999988,12.205864174999988,4431,983.0,1022.0,3.816046966731898,149.50983588299948,62,11.956104499999128,0.2497596750008597,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.l,0,2500,12.181557350000048,12.181557350000048,2988,1021.0,1074.0,4.934823091247672,159.31982766890644,67,11.314025499999843,0.8675318500002049,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.l,1,2500,12.181557350000048,12.181557350000048,4269,1043.0,1074.0,2.886405959031657,159.64746693420588,64,11.933099300000322,0.2484580499997264,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.l,2,2500,12.181557350000048,12.181557350000048,4259,1043.0,1074.0,2.886405959031657,159.64746693420588,64,11.888852000000044,0.2927053500000056,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
