Size,Instance,Seed,Configuration,Ejection_Enabled,K,L,Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Runtime_Seconds,Feasible,History_Valid,Source_Record
large,rd400_gen3_m3,0,k100_linf,True,100,,5000,10649.0,11639.0,8.505885385342383,7634.939589803457,3261.0944065999993,True,True,sensitivity_csv:35
large,rd400_gen3_m3,1,k100_linf,True,100,,5000,10711.0,11639.0,7.973193573331042,7638.4097635848475,2936.649590199999,True,True,sensitivity_csv:36
large,rd400_gen3_m3,0,k20_l1,True,20,1,5000,10630.0,11639.0,8.6691296503136,7637.013571132834,883.2006320999999,True,True,sensitivity_csv:37
large,rd400_gen3_m3,1,k20_l1,True,20,1,5000,10669.0,11639.0,8.334049316951628,7637.720480669134,866.2093678000001,True,True,sensitivity_csv:38
large,rd400_gen3_m3,0,k6_l1,True,6,1,5000,10554.0,11639.0,9.32210671019847,7619.063305098611,500.86048109999956,True,True,sensitivity_csv:39
large,rd400_gen3_m3,1,k6_l1,True,6,1,5000,10537.0,11639.0,9.468167368330613,7638.100793244815,506.64869050000016,True,True,sensitivity_csv:40
large,rd400_gen3_m3,0,off,False,0,1,5000,10599.0,11639.0,8.935475556319272,7616.378565435599,292.9358837,True,True,sensitivity_csv:41
large,rd400_gen3_m3,1,off,False,0,1,5000,10410.0,11639.0,10.559326402611909,7613.699622507069,291.99981409999964,True,True,sensitivity_csv:42
medium,pr299_gen1_m3,0,k100_l1,True,100,1,5000,109.0,111.0,1.8018018018018018,24034.724803771758,246.43505529999993,True,True,sensitivity_csv:43
medium,pr299_gen1_m3,1,k100_l1,True,100,1,5000,110.0,111.0,0.9009009009009009,23870.749256995092,230.42412630000013,True,True,sensitivity_csv:44
medium,pr299_gen1_m3,0,k100_l3,True,100,3,5000,110.0,111.0,0.9009009009009009,23928.2374371094,322.96050549999995,True,True,sensitivity_csv:45
medium,pr299_gen1_m3,1,k100_l3,True,100,3,5000,110.0,111.0,0.9009009009009009,24035.30410738611,322.2518305000001,True,True,sensitivity_csv:46
medium,pr299_gen1_m3,0,k100_l5,True,100,5,5000,110.0,111.0,0.9009009009009009,23869.932662703464,383.7606809000001,True,True,sensitivity_csv:47
medium,pr299_gen1_m3,1,k100_l5,True,100,5,5000,108.0,111.0,2.7027027027027026,23738.535428227762,409.8230079,True,True,sensitivity_csv:48
medium,pr299_gen1_m3,0,k100_linf,True,100,,5000,110.0,111.0,0.9009009009009009,23921.668710842136,341.9158112,True,True,sensitivity_csv:49
medium,pr299_gen1_m3,1,k100_linf,True,100,,5000,110.0,111.0,0.9009009009009009,23869.932662703464,394.1523058,True,True,sensitivity_csv:50
medium,pr299_gen1_m3,0,k20_l1,True,20,1,5000,109.0,111.0,1.8018018018018018,23887.07191067965,145.92420170000014,True,True,sensitivity_csv:51
medium,pr299_gen1_m3,1,k20_l1,True,20,1,5000,110.0,111.0,0.9009009009009009,24031.805240329417,146.5195781,True,True,sensitivity_csv:52
medium,pr299_gen1_m3,0,k6_l1,True,6,1,5000,109.0,111.0,1.8018018018018018,23852.29110557336,96.60300159999997,True,True,sensitivity_csv:53
medium,pr299_gen1_m3,1,k6_l1,True,6,1,5000,109.0,111.0,1.8018018018018018,23936.12674825002,94.55561139999986,True,True,sensitivity_csv:54
medium,pr299_gen1_m3,0,off,False,0,1,5000,110.0,111.0,0.9009009009009009,23897.44934490936,70.44855349999989,True,True,sensitivity_csv:55
medium,pr299_gen1_m3,1,off,False,0,1,5000,108.0,111.0,2.7027027027027026,23776.475216319104,67.16378710000004,True,True,sensitivity_csv:56
medium,pr299_gen2_m3,0,k100_l1,True,100,1,5000,5872.0,6018.0,2.4260551678298437,24029.303110774126,381.4076630999998,True,True,sensitivity_csv:57
medium,pr299_gen2_m3,1,k100_l1,True,100,1,5000,5933.0,6018.0,1.4124293785310735,24030.724679012405,433.0882862000001,True,True,sensitivity_csv:58
medium,pr299_gen2_m3,0,k100_l3,True,100,3,5000,5933.0,6018.0,1.4124293785310735,24030.724679012405,629.8121768999999,True,True,sensitivity_csv:59
medium,pr299_gen2_m3,1,k100_l3,True,100,3,5000,5789.0,6018.0,3.805250913924892,24086.768863376186,560.951331,True,True,sensitivity_csv:60
medium,pr299_gen2_m3,0,k100_l5,True,100,5,5000,5933.0,6018.0,1.4124293785310735,24030.724679012405,693.1517309999997,True,True,sensitivity_csv:61
medium,pr299_gen2_m3,1,k100_l5,True,100,5,5000,5875.0,6018.0,2.376204719175806,24028.834917557666,601.5608089999998,True,True,sensitivity_csv:62
medium,pr299_gen2_m3,0,k100_linf,True,100,,5000,5821.0,6018.0,3.2735127949484877,24049.132696730136,582.3126394999999,True,True,sensitivity_csv:63
medium,pr299_gen2_m3,1,k100_linf,True,100,,5000,5875.0,6018.0,2.376204719175806,24028.834917557666,579.1610481000002,True,True,sensitivity_csv:64
medium,pr299_gen2_m3,0,k20_l1,True,20,1,5000,5759.0,6018.0,4.3037554004652705,24029.401609554254,181.47682939999981,True,True,sensitivity_csv:65
