Protocol,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Source_Record
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m2,1,2500,44.40461825000011,,2500,2885.0,2885.0,0.0,59057.74364775776,,42.593774900000426,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:22
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m2,2,2500,44.40461825000011,,2500,2704.0,2885.0,6.273830155979203,58947.29947985023,,40.05691850000039,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:23
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m2,3,2500,44.40461825000011,,2500,2825.0,2885.0,2.079722703639515,59072.273813976586,,53.153132899999946,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:24
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m3,0,2500,37.86989892500014,,2500,2690.0,2706.0,0.5912786400591279,58945.63125475195,,35.20747779999965,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:25
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m3,1,2500,37.86989892500014,,2500,2662.0,2706.0,1.6260162601626016,59015.25180854664,,40.28922020000027,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:26
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m3,2,2500,37.86989892500014,,2500,2675.0,2706.0,1.1456023651145602,58713.348067394625,,35.41588000000047,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:27
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m3,3,2500,37.86989892500014,,2500,2662.0,2706.0,1.6260162601626016,59015.25180854664,,40.56701770000018,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:28
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m4,0,2500,28.300104599999713,,2500,2345.0,2402.0,2.373022481265612,58892.20354452245,,29.33802409999953,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:29
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m4,1,2500,28.300104599999713,,2500,2287.0,2402.0,4.787676935886761,58463.939785095325,,31.488095499999872,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:30
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m4,2,2500,28.300104599999713,,2500,2402.0,2402.0,0.0,59081.36899671893,,26.955601699999534,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:31
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen3_m4,3,2500,28.300104599999713,,2500,2238.0,2402.0,6.827643630308077,58995.22142271509,,25.418697099999918,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:32
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt101c_m3,0,2500,13.720634825000161,,2500,1290.0,1300.0,0.7692307692307693,374.4411391775405,,13.84614529999999,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:33
