Benchmark,size,instance,bks,config,role,ranking,positions,ejections,passes,attempts,seed,iterations,best_reward,gap_percent,total_distance,runtime_seconds,feasible,repair_calls,calls_with_blocked_customers,blocked_customers,attempted_blocked_customers,successful_commits,success_rate_per_attempted_customer,success_rate_per_repair_call,success_c0,success_c1,success_c2,success_c3,bounded_two_opt_trial_calls,successful_commits_using_bounded_two_opt,bounded_two_opt_share_of_successes,mean_net_reward_gain_per_success,net_reward_gain_sum,new_best_candidates_with_successful_repair,successful_commits_in_new_best_candidates,module_seconds,total_solve_seconds,module_runtime_share,Batch_Workers,Source_Record
Chao,large,p7.2.l,767.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,0,2500,758.0,1.1734028683181226,237.86704433069468,6.176373899997998,True,2582,2582,56049,56049,2923,0.0521507966243822,1.1320681642137878,1071,1371,481,0,100542,191,0.0653438248374957,13.52651385562778,39538.0,12,64,1.8349974000411748,6.175875000000815,0.2971234683410744,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.2.l,767.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,1,2500,731.0,4.69361147327249,238.87907974459077,6.161889599999995,True,2739,2739,58377,58377,3568,0.0611199616287236,1.3026652062796642,1470,1646,452,0,104596,282,0.0790358744394618,11.804932735426007,42120.0,15,42,1.9147996000574492,6.161376099997142,0.3107746660779785,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.3.n,820.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,0,2500,798.0,2.682926829268293,279.3613226047668,5.746110199997929,True,2712,2712,55269,55269,3536,0.0639779985163473,1.303834808259587,883,2186,467,0,84771,174,0.04920814479638,10.669966063348417,37729.0,5,15,1.6812735999556023,5.745651699999144,0.2926166930647489,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.3.n,820.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,1,2500,803.0,2.073170731707317,276.6702310329853,5.484719100000802,True,2638,2638,51236,51236,3060,0.0597236318213756,1.159969673995451,807,1824,429,0,90073,129,0.042156862745098,10.2859477124183,31475.0,9,22,1.6388257999096822,5.484233300001506,0.2988249606210648,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.4.n,730.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,0,2500,726.0,0.547945205479452,278.5165567932532,5.536342100000184,True,3080,3080,51619,51619,2248,0.0435498556732985,0.7298701298701299,795,1206,247,0,95972,148,0.0658362989323843,12.516459074733095,28137.0,11,31,1.6343131999092293,5.535905100001401,0.2952205954377389,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.4.n,730.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,1,2500,711.0,2.602739726027397,275.498632134995,4.886543199998414,True,2665,2665,48056,48056,2414,0.0502330614283336,0.9058161350844278,694,1491,229,0,82495,254,0.1052195526097763,12.276304888152444,29635.0,14,24,1.437384899967583,4.886132499999803,0.2941764063843215,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.2.q,1195.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,1185.0,0.8368200836820083,84.70820393249937,4.56240329999855,True,2534,2534,37850,37850,1803,0.0476354029062087,0.7115232833464877,620,1183,0,0,151732,169,0.093732667775929,19.240155296727675,34690.0,8,25,2.075876399943809,4.56195039999875,0.4550414226214247,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.2.q,1195.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,1195.0,0.0,84.70820393249937,4.687020599998505,True,2536,2536,36866,36866,2042,0.0553897900504529,0.805205047318612,872,1170,0,0,176822,222,0.10871694417238,20.74926542605289,42370.0,9,30,2.3068941999590606,4.686574200000905,0.4922346476363513,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.3.s,1190.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,1185.0,0.4201680672268907,92.860416223291,4.7532953000009,True,2564,2564,37443,37443,1947,0.0519990385385786,0.7593603744149766,583,1364,0,0,206392,253,0.1299435028248587,17.023626091422702,33145.0,10,22,2.344786599955114,4.752906800000346,0.493337382495054,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.3.s,1190.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,1185.0,0.4201680672268907,92.860416223291,4.647253700000874,True,2550,2550,36252,36252,1688,0.0465629482511309,0.6619607843137255,479,1209,0,0,199802,196,0.1161137440758293,16.81575829383886,28385.0,11,38,2.2706166998905246,4.64686459999939,0.4886341426627371,2,06_mechanism_components/mechanism_runs.csv
