size,instance,config,iteration,mean_gap_percent,min_gap_percent,max_gap_percent,n_seeds
small,bier127_gen1_m3,k100_l1,0,10.679611650485436,10.679611650485436,10.679611650485436,2
small,bier127_gen1_m3,k100_l1,50,3.883495145631068,3.883495145631068,3.883495145631068,2
small,bier127_gen1_m3,k100_l1,100,3.883495145631068,3.883495145631068,3.883495145631068,2
small,bier127_gen1_m3,k100_l1,150,3.3980582524271847,2.912621359223301,3.883495145631068,2
small,bier127_gen1_m3,k100_l1,200,3.3980582524271847,2.912621359223301,3.883495145631068,2
small,bier127_gen1_m3,k100_l1,250,3.3980582524271847,2.912621359223301,3.883495145631068,2
small,bier127_gen1_m3,k100_l1,300,3.3980582524271847,2.912621359223301,3.883495145631068,2
small,bier127_gen1_m3,k100_l1,350,2.912621359223301,2.912621359223301,2.912621359223301,2
small,bier127_gen1_m3,k100_l1,400,2.912621359223301,2.912621359223301,2.912621359223301,2
small,bier127_gen1_m3,k100_l1,450,2.4271844660194173,1.941747572815534,2.912621359223301,2
small,bier127_gen1_m3,k100_l1,500,1.941747572815534,1.941747572815534,1.941747572815534,2
small,bier127_gen1_m3,k100_l1,550,1.4563106796116505,0.970873786407767,1.941747572815534,2
small,bier127_gen1_m3,k100_l1,600,1.4563106796116505,0.970873786407767,1.941747572815534,2
small,bier127_gen1_m3,k100_l1,650,1.4563106796116505,0.970873786407767,1.941747572815534,2
small,bier127_gen1_m3,k100_l1,700,1.4563106796116505,0.970873786407767,1.941747572815534,2
small,bier127_gen1_m3,k100_l1,750,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,800,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,850,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,900,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,950,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1000,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1050,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1100,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1150,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1200,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1250,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1300,0.970873786407767,0.970873786407767,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1350,0.970873786407767,0.970873786407767,0.970873786407767,2
