comparison,gap_reduction_pp,added_runtime_seconds,gap_reduction_pp_per_100_added_seconds
K=6 to K=20,0.43464197495030454,157.87120761666682,0.2753142777026673
K=20 to K=100,0.9773414702750349,479.45078882777767,0.20384604490161834
