algorithm,instance,bks,best_reward,mean_reward,best_gap,mean_gap,mean_runtime,mean_iterations,dataset,protocol
off,p4.4.o,1061.0,1030.0,991.25,2.9217719132893496,6.573986804901037,8.441409650000423,3851.0,Chao,time
off,p4.4.p,1124.0,1085.0,1053.5,3.469750889679715,6.272241992882562,8.739787725000042,4189.25,Chao,time
off,p4.4.q,1161.0,1161.0,1131.5,0.0,2.5409130060292853,7.808464374999858,4001.75,Chao,time
off,p4.4.r,1216.0,1174.0,1171.25,3.4539473684210527,3.680098684210526,7.586496500000521,3973.0,Chao,time
off,p4.4.s,1260.0,1246.0,1229.5,1.1111111111111112,2.4206349206349205,6.99305592499968,3996.5,Chao,time
off,p4.4.t,1285.0,1269.0,1257.0,1.245136186770428,2.178988326848249,6.5958346249994975,3784.25,Chao,time
off,p5.2.h,410.0,410.0,396.25,0.0,3.3536585365853657,2.0534423750000315,4100.0,Chao,time
off,p5.2.j,580.0,570.0,565.0,1.7241379310344827,2.586206896551724,2.2389592000004086,3512.0,Chao,time
off,p5.2.k,670.0,670.0,668.75,0.0,0.1865671641791045,3.075338374999774,4738.25,Chao,time
off,p5.2.l,800.0,800.0,777.5,0.0,2.8125,2.834076825000011,4023.75,Chao,time
off,p5.2.m,860.0,860.0,848.75,0.0,1.308139534883721,3.9376245750004273,5303.0,Chao,time
off,p5.2.n,925.0,925.0,920.0,0.0,0.5405405405405406,3.6994118499997057,4582.0,Chao,time
off,p5.2.o,1020.0,1010.0,995.0,0.9803921568627451,2.450980392156863,3.7068517249999786,4294.25,Chao,time
off,p5.2.p,1150.0,1150.0,1107.5,0.0,3.6956521739130435,4.1545929500002785,4796.0,Chao,time
off,p5.2.q,1195.0,1195.0,1191.25,0.0,0.3138075313807531,3.9827950750000127,4429.75,Chao,time
off,p5.2.r,1260.0,1260.0,1260.0,0.0,0.0,4.474545625000246,4648.75,Chao,time
off,p5.2.s,1340.0,1310.0,1307.5,2.2388059701492535,2.425373134328358,4.376283999999487,4471.25,Chao,time
off,p5.2.t,1400.0,1400.0,1400.0,0.0,0.0,4.197898874999737,4405.5,Chao,time
off,p5.2.u,1460.0,1460.0,1448.75,0.0,0.7705479452054794,4.259821674999785,4526.5,Chao,time
off,p5.2.v,1505.0,1505.0,1501.25,0.0,0.24916943521594684,3.9101263499997003,4024.5,Chao,time
off,p5.2.w,1565.0,1560.0,1560.0,0.3194888178913738,0.3194888178913738,3.758736774999761,3853.5,Chao,time
off,p5.2.x,1610.0,1610.0,1610.0,0.0,0.0,3.042873249999957,3179.5,Chao,time
off,p5.2.y,1645.0,1645.0,1645.0,0.0,0.0,2.8058178499995847,3081.75,Chao,time
off,p5.2.z,1680.0,1680.0,1680.0,0.0,0.0,2.0989315000006172,2355.0,Chao,time
